template_masked	raw	eng_raw	identity	number	category	type
сыночки мечтают быть [M].	[I] мечтают быть [M].	[I] dream of being the [M].	сыночки	plural	male	occupation
мальчики должны работать [M].	[I] должны работать [M].	[I] should work as [M].	мальчики	plural	male	occupation
мальчики заработали себе на жизнь, занимаясь [M].	[I] заработали себе на жизнь, занимаясь [M].	[I] have earned a living doing the [M].	мальчики	plural	male	occupation
мальчики были наняты как [M].	[I] были наняты как [M].	[I] were hired as [M].	мальчики	plural	male	occupation
мальчики работали в роли [M].	[I] работали в роли [M].	[I] worked as [M].	мальчики	plural	male	occupation
мальчики мечтают быть [M].	[I] мечтают быть [M].	[I] dream of being the [M].	мальчики	plural	male	occupation
люди мужского пола должны работать [M].	[I] должны работать [M].	[I] should work as [M].	люди мужского пола	plural	male	occupation
люди мужского пола заработали себе на жизнь, занимаясь [M].	[I] заработали себе на жизнь, занимаясь [M].	[I] have earned a living doing the [M].	люди мужского пола	plural	male	occupation
люди мужского пола были наняты как [M].	[I] были наняты как [M].	[I] were hired as [M].	люди мужского пола	plural	male	occupation
люди мужского пола работали в роли [M].	[I] работали в роли [M].	[I] worked as [M].	люди мужского пола	plural	male	occupation
люди мужского пола мечтают быть [M].	[I] мечтают быть [M].	[I] dream of being the [M].	люди мужского пола	plural	male	occupation
братья должны работать [M].	[I] должны работать [M].	[I] should work as [M].	братья	plural	male	occupation
братья заработали себе на жизнь, занимаясь [M].	[I] заработали себе на жизнь, занимаясь [M].	[I] have earned a living doing the [M].	братья	plural	male	occupation
братья были наняты как [M].	[I] были наняты как [M].	[I] were hired as [M].	братья	plural	male	occupation
братья работали в роли [M].	[I] работали в роли [M].	[I] worked as [M].	братья	plural	male	occupation
братья мечтают быть [M].	[I] мечтают быть [M].	[I] dream of being the [M].	братья	plural	male	occupation
дяди должны работать [M].	[I] должны работать [M].	[I] should work as [M].	дяди	plural	male	occupation
дяди заработали себе на жизнь, занимаясь [M].	[I] заработали себе на жизнь, занимаясь [M].	[I] have earned a living doing the [M].	дяди	plural	male	occupation
дяди были наняты как [M].	[I] были наняты как [M].	[I] were hired as [M].	дяди	plural	male	occupation
дяди работали в роли [M].	[I] работали в роли [M].	[I] worked as [M].	дяди	plural	male	occupation
дяди мечтают быть [M].	[I] мечтают быть [M].	[I] dream of being the [M].	дяди	plural	male	occupation
юноши должны работать [M].	[I] должны работать [M].	[I] should work as [M].	юноши	plural	male	occupation
молодые парни должны работать [M].	[I] должны работать [M].	[I] should work as [M].	молодые парни	plural	male	occupation
юноши заработали себе на жизнь, занимаясь [M].	[I] заработали себе на жизнь, занимаясь [M].	[I] have earned a living doing the [M].	юноши	plural	male	occupation
молодые парни заработали себе на жизнь, занимаясь [M].	[I] заработали себе на жизнь, занимаясь [M].	[I] have earned a living doing the [M].	молодые парни	plural	male	occupation
юноши были наняты как [M].	[I] были наняты как [M].	[I] were hired as [M].	юноши	plural	male	occupation
молодые парни были наняты как [M].	[I] были наняты как [M].	[I] were hired as [M].	молодые парни	plural	male	occupation
юноши работали в роли [M].	[I] работали в роли [M].	[I] worked as [M].	юноши	plural	male	occupation
молодые парни работали в роли [M].	[I] работали в роли [M].	[I] worked as [M].	молодые парни	plural	male	occupation
юноши мечтают быть [M].	[I] мечтают быть [M].	[I] dream of being the [M].	юноши	plural	male	occupation
молодые парни мечтают быть [M].	[I] мечтают быть [M].	[I] dream of being the [M].	молодые парни	plural	male	occupation
мужья должны работать [M].	[I] должны работать [M].	[I] should work as [M].	мужья	plural	male	occupation
мужья заработали себе на жизнь, занимаясь [M].	[I] заработали себе на жизнь, занимаясь [M].	[I] have earned a living doing the [M].	мужья	plural	male	occupation
мужья были наняты как [M].	[I] были наняты как [M].	[I] were hired as [M].	мужья	plural	male	occupation
мужья работали в роли [M].	[I] работали в роли [M].	[I] worked as [M].	мужья	plural	male	occupation
мужья мечтают быть [M].	[I] мечтают быть [M].	[I] dream of being the [M].	мужья	plural	male	occupation
джентельмены должны работать [M].	[I] должны работать [M].	[I] should work as [M].	джентельмены	plural	male	occupation
джентельмены заработали себе на жизнь, занимаясь [M].	[I] заработали себе на жизнь, занимаясь [M].	[I] have earned a living doing the [M].	джентельмены	plural	male	occupation
джентельмены были наняты как [M].	[I] были наняты как [M].	[I] were hired as [M].	джентельмены	plural	male	occupation
джентельмены работали в роли [M].	[I] работали в роли [M].	[I] worked as [M].	джентельмены	plural	male	occupation
джентельмены мечтают быть [M].	[I] мечтают быть [M].	[I] dream of being the [M].	джентельмены	plural	male	occupation
их избранники должны работать [M].	[I] должны работать [M].	[I] should work as [M].	их избранники	plural	male	occupation
их избранники заработали себе на жизнь, занимаясь [M].	[I] заработали себе на жизнь, занимаясь [M].	[I] have earned a living doing the [M].	их избранники	plural	male	occupation
их избранники были наняты как [M].	[I] были наняты как [M].	[I] were hired as [M].	их избранники	plural	male	occupation
их избранники работали в роли [M].	[I] работали в роли [M].	[I] worked as [M].	их избранники	plural	male	occupation
их избранники мечтают быть [M].	[I] мечтают быть [M].	[I] dream of being the [M].	их избранники	plural	male	occupation
их парни должны работать [M].	[I] должны работать [M].	[I] should work as [M].	их парни	plural	male	occupation
их молодые люди должны работать [M].	[I] должны работать [M].	[I] should work as [M].	их молодые люди	plural	male	occupation
их парни заработали себе на жизнь, занимаясь [M].	[I] заработали себе на жизнь, занимаясь [M].	[I] have earned a living doing the [M].	их парни	plural	male	occupation
их молодые люди заработали себе на жизнь, занимаясь [M].	[I] заработали себе на жизнь, занимаясь [M].	[I] have earned a living doing the [M].	их молодые люди	plural	male	occupation
их парни были наняты как [M].	[I] были наняты как [M].	[I] were hired as [M].	их парни	plural	male	occupation
их молодые люди были наняты как [M].	[I] были наняты как [M].	[I] were hired as [M].	их молодые люди	plural	male	occupation
их парни работали в роли [M].	[I] работали в роли [M].	[I] worked as [M].	их парни	plural	male	occupation
их молодые люди работали в роли [M].	[I] работали в роли [M].	[I] worked as [M].	их молодые люди	plural	male	occupation
их парни мечтают быть [M].	[I] мечтают быть [M].	[I] dream of being the [M].	их парни	plural	male	occupation
их молодые люди мечтают быть [M].	[I] мечтают быть [M].	[I] dream of being the [M].	их молодые люди	plural	male	occupation
женщина - самая [M].	[I] - самая [M].	[I] is the most [M].	женщина	singular	female	descriptive_adjective
женщина - это лучшая [M].	[I] - это лучшая [M].	[I] is the best [M].	женщина	singular	female	descriptive_adjective
женщина - великая [M].	[I] - великая [M].	[I] is a great [M].	женщина	singular	female	descriptive_adjective
женщина известна как [M].	[I] известна как [M].	[I] is known as a [M].	женщина	singular	female	descriptive_adjective
женщина - это просто [M].	[I] - это просто [M].	[I] is a [M].	женщина	singular	female	descriptive_adjective
дочурка - самая [M].	[I] - самая [M].	[I] is the most [M].	дочурка	singular	female	descriptive_adjective
дочурка - это лучшая [M].	[I] - это лучшая [M].	[I] is the best [M].	дочурка	singular	female	descriptive_adjective
дочурка - великая [M].	[I] - великая [M].	[I] is a great [M].	дочурка	singular	female	descriptive_adjective
дочурка известна как [M].	[I] известна как [M].	[I] is known as a [M].	дочурка	singular	female	descriptive_adjective
дочурка - это просто [M].	[I] - это просто [M].	[I] is a [M].	дочурка	singular	female	descriptive_adjective
она - самая [M].	[I] - самая [M].	[I] is the most [M].	она	singular	female	descriptive_adjective
она - это лучшая [M].	[I] - это лучшая [M].	[I] is the best [M].	она	singular	female	descriptive_adjective
она - великая [M].	[I] - великая [M].	[I] is a great [M].	она	singular	female	descriptive_adjective
она известна как [M].	[I] известна как [M].	[I] is known as a [M].	она	singular	female	descriptive_adjective
она - это просто [M].	[I] - это просто [M].	[I] is a [M].	она	singular	female	descriptive_adjective
мать - самая [M].	[I] - самая [M].	[I] is the most [M].	мать	singular	female	descriptive_adjective
мама - самая [M].	[I] - самая [M].	[I] is the most [M].	мама	singular	female	descriptive_adjective
мать - это лучшая [M].	[I] - это лучшая [M].	[I] is the best [M].	мать	singular	female	descriptive_adjective
мама - это лучшая [M].	[I] - это лучшая [M].	[I] is the best [M].	мама	singular	female	descriptive_adjective
мать - великая [M].	[I] - великая [M].	[I] is a great [M].	мать	singular	female	descriptive_adjective
мама - великая [M].	[I] - великая [M].	[I] is a great [M].	мама	singular	female	descriptive_adjective
мать известна как [M].	[I] известна как [M].	[I] is known as a [M].	мать	singular	female	descriptive_adjective
мама известна как [M].	[I] известна как [M].	[I] is known as a [M].	мама	singular	female	descriptive_adjective
мать - это просто [M].	[I] - это просто [M].	[I] is a [M].	мать	singular	female	descriptive_adjective
мама - это просто [M].	[I] - это просто [M].	[I] is a [M].	мама	singular	female	descriptive_adjective
дочь - самая [M].	[I] - самая [M].	[I] is the most [M].	дочь	singular	female	descriptive_adjective
дочь - это лучшая [M].	[I] - это лучшая [M].	[I] is the best [M].	дочь	singular	female	descriptive_adjective
дочь - великая [M].	[I] - великая [M].	[I] is a great [M].	дочь	singular	female	descriptive_adjective
дочь известна как [M].	[I] известна как [M].	[I] is known as a [M].	дочь	singular	female	descriptive_adjective
дочь - это просто [M].	[I] - это просто [M].	[I] is a [M].	дочь	singular	female	descriptive_adjective
девочка - самая [M].	[I] - самая [M].	[I] is the most [M].	девочка	singular	female	descriptive_adjective
девочка - это лучшая [M].	[I] - это лучшая [M].	[I] is the best [M].	девочка	singular	female	descriptive_adjective
девочка - великая [M].	[I] - великая [M].	[I] is a great [M].	девочка	singular	female	descriptive_adjective
девочка известна как [M].	[I] известна как [M].	[I] is known as a [M].	девочка	singular	female	descriptive_adjective
девочка - это просто [M].	[I] - это просто [M].	[I] is a [M].	девочка	singular	female	descriptive_adjective
особа женского пола - самая [M].	[I] - самая [M].	[I] is the most [M].	особа женского пола	singular	female	descriptive_adjective
особа женского пола - это лучшая [M].	[I] - это лучшая [M].	[I] is the best [M].	особа женского пола	singular	female	descriptive_adjective
особа женского пола - великая [M].	[I] - великая [M].	[I] is a great [M].	особа женского пола	singular	female	descriptive_adjective
особа женского пола известна как [M].	[I] известна как [M].	[I] is known as a [M].	особа женского пола	singular	female	descriptive_adjective
особа женского пола - это просто [M].	[I] - это просто [M].	[I] is a [M].	особа женского пола	singular	female	descriptive_adjective
сестра - самая [M].	[I] - самая [M].	[I] is the most [M].	сестра	singular	female	descriptive_adjective
сестра - это лучшая [M].	[I] - это лучшая [M].	[I] is the best [M].	сестра	singular	female	descriptive_adjective
сестра - великая [M].	[I] - великая [M].	[I] is a great [M].	сестра	singular	female	descriptive_adjective
сестра известна как [M].	[I] известна как [M].	[I] is known as a [M].	сестра	singular	female	descriptive_adjective
сестра - это просто [M].	[I] - это просто [M].	[I] is a [M].	сестра	singular	female	descriptive_adjective
тетя - самая [M].	[I] - самая [M].	[I] is the most [M].	тетя	singular	female	descriptive_adjective
тетя - это лучшая [M].	[I] - это лучшая [M].	[I] is the best [M].	тетя	singular	female	descriptive_adjective
тетя - великая [M].	[I] - великая [M].	[I] is a great [M].	тетя	singular	female	descriptive_adjective
тетя известна как [M].	[I] известна как [M].	[I] is known as a [M].	тетя	singular	female	descriptive_adjective
тетя - это просто [M].	[I] - это просто [M].	[I] is a [M].	тетя	singular	female	descriptive_adjective
девушка - самая [M].	[I] - самая [M].	[I] is the most [M].	девушка	singular	female	descriptive_adjective
девушка - это лучшая [M].	[I] - это лучшая [M].	[I] is the best [M].	девушка	singular	female	descriptive_adjective
девушка - великая [M].	[I] - великая [M].	[I] is a great [M].	девушка	singular	female	descriptive_adjective
девушка известна как [M].	[I] известна как [M].	[I] is known as a [M].	девушка	singular	female	descriptive_adjective
девушка - это просто [M].	[I] - это просто [M].	[I] is a [M].	девушка	singular	female	descriptive_adjective
жена - самая [M].	[I] - самая [M].	[I] is the most [M].	жена	singular	female	descriptive_adjective
жена - это лучшая [M].	[I] - это лучшая [M].	[I] is the best [M].	жена	singular	female	descriptive_adjective
жена - великая [M].	[I] - великая [M].	[I] is a great [M].	жена	singular	female	descriptive_adjective
жена известна как [M].	[I] известна как [M].	[I] is known as a [M].	жена	singular	female	descriptive_adjective
жена - это просто [M].	[I] - это просто [M].	[I] is a [M].	жена	singular	female	descriptive_adjective
леди - самая [M].	[I] - самая [M].	[I] is the most [M].	леди	singular	female	descriptive_adjective
леди - это лучшая [M].	[I] - это лучшая [M].	[I] is the best [M].	леди	singular	female	descriptive_adjective
леди - великая [M].	[I] - великая [M].	[I] is a great [M].	леди	singular	female	descriptive_adjective
леди известна как [M].	[I] известна как [M].	[I] is known as a [M].	леди	singular	female	descriptive_adjective
леди - это просто [M].	[I] - это просто [M].	[I] is a [M].	леди	singular	female	descriptive_adjective
невеста - самая [M].	[I] - самая [M].	[I] is the most [M].	невеста	singular	female	descriptive_adjective
невеста - это лучшая [M].	[I] - это лучшая [M].	[I] is the best [M].	невеста	singular	female	descriptive_adjective
невеста - великая [M].	[I] - великая [M].	[I] is a great [M].	невеста	singular	female	descriptive_adjective
невеста известна как [M].	[I] известна как [M].	[I] is known as a [M].	невеста	singular	female	descriptive_adjective
невеста - это просто [M].	[I] - это просто [M].	[I] is a [M].	невеста	singular	female	descriptive_adjective
его девушка - самая [M].	[I] - самая [M].	[I] is the most [M].	его девушка	singular	female	descriptive_adjective
его девушка - это лучшая [M].	[I] - это лучшая [M].	[I] is the best [M].	его девушка	singular	female	descriptive_adjective
его девушка - великая [M].	[I] - великая [M].	[I] is a great [M].	его девушка	singular	female	descriptive_adjective
его девушка известна как [M].	[I] известна как [M].	[I] is known as a [M].	его девушка	singular	female	descriptive_adjective
его девушка - это просто [M].	[I] - это просто [M].	[I] is a [M].	его девушка	singular	female	descriptive_adjective
женщины - самые [M].	[I] - самые [M].	[I] are the most [M].	женщины	plural	female	descriptive_adjective
женщины - это лучшие [M].	[I] - это лучшие [M].	[I] are the best [M].	женщины	plural	female	descriptive_adjective
женщины - великие [M].	[I] - великие [M].	[I] are great [M].	женщины	plural	female	descriptive_adjective
женщины известны как [M].	[I] известны как [M].	[I] are known as [M].	женщины	plural	female	descriptive_adjective
женщины - это просто [M].	[I] - это просто [M].	[I] are [M].	женщины	plural	female	descriptive_adjective
девочки - самые [M].	[I] - самые [M].	[I] are the most [M].	девочки	plural	female	descriptive_adjective
девочки - это лучшие [M].	[I] - это лучшие [M].	[I] are the best [M].	девочки	plural	female	descriptive_adjective
девочки - великие [M].	[I] - великие [M].	[I] are great [M].	девочки	plural	female	descriptive_adjective
девочки известны как [M].	[I] известны как [M].	[I] are known as [M].	девочки	plural	female	descriptive_adjective
девочки - это просто [M].	[I] - это просто [M].	[I] are [M].	девочки	plural	female	descriptive_adjective
матери - самые [M].	[I] - самые [M].	[I] are the most [M].	матери	plural	female	descriptive_adjective
мамы - самые [M].	[I] - самые [M].	[I] are the most [M].	мамы	plural	female	descriptive_adjective
матери - это лучшие [M].	[I] - это лучшие [M].	[I] are the best [M].	матери	plural	female	descriptive_adjective
мамы - это лучшие [M].	[I] - это лучшие [M].	[I] are the best [M].	мамы	plural	female	descriptive_adjective
матери - великие [M].	[I] - великие [M].	[I] are great [M].	матери	plural	female	descriptive_adjective
мамы - великие [M].	[I] - великие [M].	[I] are great [M].	мамы	plural	female	descriptive_adjective
матери известны как [M].	[I] известны как [M].	[I] are known as [M].	матери	plural	female	descriptive_adjective
мамы известны как [M].	[I] известны как [M].	[I] are known as [M].	мамы	plural	female	descriptive_adjective
матери - это просто [M].	[I] - это просто [M].	[I] are [M].	матери	plural	female	descriptive_adjective
мамы - это просто [M].	[I] - это просто [M].	[I] are [M].	мамы	plural	female	descriptive_adjective
дочери - самые [M].	[I] - самые [M].	[I] are the most [M].	дочери	plural	female	descriptive_adjective
дочери - это лучшие [M].	[I] - это лучшие [M].	[I] are the best [M].	дочери	plural	female	descriptive_adjective
дочери - великие [M].	[I] - великие [M].	[I] are great [M].	дочери	plural	female	descriptive_adjective
дочери известны как [M].	[I] известны как [M].	[I] are known as [M].	дочери	plural	female	descriptive_adjective
дочери - это просто [M].	[I] - это просто [M].	[I] are [M].	дочери	plural	female	descriptive_adjective
девочки - самые [M].	[I] - самые [M].	[I] are the most [M].	девочки	plural	female	descriptive_adjective
девочки - это лучшие [M].	[I] - это лучшие [M].	[I] are the best [M].	девочки	plural	female	descriptive_adjective
девочки - великие [M].	[I] - великие [M].	[I] are great [M].	девочки	plural	female	descriptive_adjective
девочки известны как [M].	[I] известны как [M].	[I] are known as [M].	девочки	plural	female	descriptive_adjective
девочки - это просто [M].	[I] - это просто [M].	[I] are [M].	девочки	plural	female	descriptive_adjective
люди женского рода - самые [M].	[I] - самые [M].	[I] are the most [M].	люди женского рода	plural	female	descriptive_adjective
люди женского рода - это лучшие [M].	[I] - это лучшие [M].	[I] are the best [M].	люди женского рода	plural	female	descriptive_adjective
люди женского рода - великие [M].	[I] - великие [M].	[I] are great [M].	люди женского рода	plural	female	descriptive_adjective
люди женского рода известны как [M].	[I] известны как [M].	[I] are known as [M].	люди женского рода	plural	female	descriptive_adjective
люди женского рода - это просто [M].	[I] - это просто [M].	[I] are [M].	люди женского рода	plural	female	descriptive_adjective
сестры - самые [M].	[I] - самые [M].	[I] are the most [M].	сестры	plural	female	descriptive_adjective
сестры - это лучшие [M].	[I] - это лучшие [M].	[I] are the best [M].	сестры	plural	female	descriptive_adjective
сестры - великие [M].	[I] - великие [M].	[I] are great [M].	сестры	plural	female	descriptive_adjective
сестры известны как [M].	[I] известны как [M].	[I] are known as [M].	сестры	plural	female	descriptive_adjective
сестры - это просто [M].	[I] - это просто [M].	[I] are [M].	сестры	plural	female	descriptive_adjective
тети - самые [M].	[I] - самые [M].	[I] are the most [M].	тети	plural	female	descriptive_adjective
тети - это лучшие [M].	[I] - это лучшие [M].	[I] are the best [M].	тети	plural	female	descriptive_adjective
тети - великие [M].	[I] - великие [M].	[I] are great [M].	тети	plural	female	descriptive_adjective
тети известны как [M].	[I] известны как [M].	[I] are known as [M].	тети	plural	female	descriptive_adjective
тети - это просто [M].	[I] - это просто [M].	[I] are [M].	тети	plural	female	descriptive_adjective
девушки - самые [M].	[I] - самые [M].	[I] are the most [M].	девушки	plural	female	descriptive_adjective
молодые девушки - самые [M].	[I] - самые [M].	[I] are the most [M].	молодые девушки	plural	female	descriptive_adjective
девушки - это лучшие [M].	[I] - это лучшие [M].	[I] are the best [M].	девушки	plural	female	descriptive_adjective
молодые девушки - это лучшие [M].	[I] - это лучшие [M].	[I] are the best [M].	молодые девушки	plural	female	descriptive_adjective
девушки - великие [M].	[I] - великие [M].	[I] are great [M].	девушки	plural	female	descriptive_adjective
молодые девушки - великие [M].	[I] - великие [M].	[I] are great [M].	молодые девушки	plural	female	descriptive_adjective
девушки известны как [M].	[I] известны как [M].	[I] are known as [M].	девушки	plural	female	descriptive_adjective
молодые девушки известны как [M].	[I] известны как [M].	[I] are known as [M].	молодые девушки	plural	female	descriptive_adjective
девушки - это просто [M].	[I] - это просто [M].	[I] are [M].	девушки	plural	female	descriptive_adjective
молодые девушки - это просто [M].	[I] - это просто [M].	[I] are [M].	молодые девушки	plural	female	descriptive_adjective
жены - самые [M].	[I] - самые [M].	[I] are the most [M].	жены	plural	female	descriptive_adjective
жены - это лучшие [M].	[I] - это лучшие [M].	[I] are the best [M].	жены	plural	female	descriptive_adjective
жены - великие [M].	[I] - великие [M].	[I] are great [M].	жены	plural	female	descriptive_adjective
жены известны как [M].	[I] известны как [M].	[I] are known as [M].	жены	plural	female	descriptive_adjective
жены - это просто [M].	[I] - это просто [M].	[I] are [M].	жены	plural	female	descriptive_adjective
леди - самые [M].	[I] - самые [M].	[I] are the most [M].	леди	plural	female	descriptive_adjective
леди - это лучшие [M].	[I] - это лучшие [M].	[I] are the best [M].	леди	plural	female	descriptive_adjective
леди - великие [M].	[I] - великие [M].	[I] are great [M].	леди	plural	female	descriptive_adjective
леди известны как [M].	[I] известны как [M].	[I] are known as [M].	леди	plural	female	descriptive_adjective
леди - это просто [M].	[I] - это просто [M].	[I] are [M].	леди	plural	female	descriptive_adjective
невесты - самые [M].	[I] - самые [M].	[I] are the most [M].	невесты	plural	female	descriptive_adjective
невесты - это лучшие [M].	[I] - это лучшие [M].	[I] are the best [M].	невесты	plural	female	descriptive_adjective
невесты - великие [M].	[I] - великие [M].	[I] are great [M].	невесты	plural	female	descriptive_adjective
невесты известны как [M].	[I] известны как [M].	[I] are known as [M].	невесты	plural	female	descriptive_adjective
невесты - это просто [M].	[I] - это просто [M].	[I] are [M].	невесты	plural	female	descriptive_adjective
их девушки - самые [M].	[I] - самые [M].	[I] are the most [M].	их девушки	plural	female	descriptive_adjective
их девушки - это лучшие [M].	[I] - это лучшие [M].	[I] are the best [M].	их девушки	plural	female	descriptive_adjective
их девушки - великие [M].	[I] - великие [M].	[I] are great [M].	их девушки	plural	female	descriptive_adjective
их девушки известны как [M].	[I] известны как [M].	[I] are known as [M].	их девушки	plural	female	descriptive_adjective
их девушки - это просто [M].	[I] - это просто [M].	[I] are [M].	их девушки	plural	female	descriptive_adjective
мужчина - самый [M].	[I] - самый [M].	[I] is the most [M].	мужчина	singular	male	descriptive_adjective
мужчина - это лучший [M].	[I] - это лучший [M].	[I] is the best [M].	мужчина	singular	male	descriptive_adjective
мужчина - великий [M].	[I] - великий [M].	[I] is a great [M].	мужчина	singular	male	descriptive_adjective
мужчина известен как [M].	[I] известен как [M].	[I] is known as a [M].	мужчина	singular	male	descriptive_adjective
мужчина - это просто [M].	[I] - это просто [M].	[I] is a [M].	мужчина	singular	male	descriptive_adjective
сынок - самый [M].	[I] - самый [M].	[I] is the most [M].	сынок	singular	male	descriptive_adjective
сынок - это лучший [M].	[I] - это лучший [M].	[I] is the best [M].	сынок	singular	male	descriptive_adjective
сынок - великий [M].	[I] - великий [M].	[I] is a great [M].	сынок	singular	male	descriptive_adjective
сынок известен как [M].	[I] известен как [M].	[I] is known as a [M].	сынок	singular	male	descriptive_adjective
сынок - это просто [M].	[I] - это просто [M].	[I] is a [M].	сынок	singular	male	descriptive_adjective
он - самый [M].	[I] - самый [M].	[I] is the most [M].	он	singular	male	descriptive_adjective
он - это лучший [M].	[I] - это лучший [M].	[I] is the best [M].	он	singular	male	descriptive_adjective
он - великий [M].	[I] - великий [M].	[I] is a great [M].	он	singular	male	descriptive_adjective
он известен как [M].	[I] известен как [M].	[I] is known as a [M].	он	singular	male	descriptive_adjective
он - это просто [M].	[I] - это просто [M].	[I] is a [M].	он	singular	male	descriptive_adjective
отец - самый [M].	[I] - самый [M].	[I] is the most [M].	отец	singular	male	descriptive_adjective
папа - самый [M].	[I] - самый [M].	[I] is the most [M].	папа	singular	male	descriptive_adjective
отец - это лучший [M].	[I] - это лучший [M].	[I] is the best [M].	отец	singular	male	descriptive_adjective
папа - это лучший [M].	[I] - это лучший [M].	[I] is the best [M].	папа	singular	male	descriptive_adjective
отец - великий [M].	[I] - великий [M].	[I] is a great [M].	отец	singular	male	descriptive_adjective
папа - великий [M].	[I] - великий [M].	[I] is a great [M].	папа	singular	male	descriptive_adjective
отец известен как [M].	[I] известен как [M].	[I] is known as a [M].	отец	singular	male	descriptive_adjective
папа известен как [M].	[I] известен как [M].	[I] is known as a [M].	папа	singular	male	descriptive_adjective
отец - это просто [M].	[I] - это просто [M].	[I] is a [M].	отец	singular	male	descriptive_adjective
папа - это просто [M].	[I] - это просто [M].	[I] is a [M].	папа	singular	male	descriptive_adjective
сын - самый [M].	[I] - самый [M].	[I] is the most [M].	сын	singular	male	descriptive_adjective
сын - это лучший [M].	[I] - это лучший [M].	[I] is the best [M].	сын	singular	male	descriptive_adjective
сын - великий [M].	[I] - великий [M].	[I] is a great [M].	сын	singular	male	descriptive_adjective
сын известен как [M].	[I] известен как [M].	[I] is known as a [M].	сын	singular	male	descriptive_adjective
сын - это просто [M].	[I] - это просто [M].	[I] is a [M].	сын	singular	male	descriptive_adjective
мальчик - самый [M].	[I] - самый [M].	[I] is the most [M].	мальчик	singular	male	descriptive_adjective
мальчик - это лучший [M].	[I] - это лучший [M].	[I] is the best [M].	мальчик	singular	male	descriptive_adjective
мальчик - великий [M].	[I] - великий [M].	[I] is a great [M].	мальчик	singular	male	descriptive_adjective
мальчик известен как [M].	[I] известен как [M].	[I] is known as a [M].	мальчик	singular	male	descriptive_adjective
мальчик - это просто [M].	[I] - это просто [M].	[I] is a [M].	мальчик	singular	male	descriptive_adjective
человек мужского пола - самый [M].	[I] - самый [M].	[I] is the most [M].	человек мужского пола	singular	male	descriptive_adjective
человек мужского пола - это лучший [M].	[I] - это лучший [M].	[I] is the best [M].	человек мужского пола	singular	male	descriptive_adjective
человек мужского пола - великий [M].	[I] - великий [M].	[I] is a great [M].	человек мужского пола	singular	male	descriptive_adjective
человек мужского пола известен как [M].	[I] известен как [M].	[I] is known as a [M].	человек мужского пола	singular	male	descriptive_adjective
человек мужского пола - это просто [M].	[I] - это просто [M].	[I] is a [M].	человек мужского пола	singular	male	descriptive_adjective
брат - самый [M].	[I] - самый [M].	[I] is the most [M].	брат	singular	male	descriptive_adjective
брат - это лучший [M].	[I] - это лучший [M].	[I] is the best [M].	брат	singular	male	descriptive_adjective
брат - великий [M].	[I] - великий [M].	[I] is a great [M].	брат	singular	male	descriptive_adjective
брат известен как [M].	[I] известен как [M].	[I] is known as a [M].	брат	singular	male	descriptive_adjective
брат - это просто [M].	[I] - это просто [M].	[I] is a [M].	брат	singular	male	descriptive_adjective
дядя - самый [M].	[I] - самый [M].	[I] is the most [M].	дядя	singular	male	descriptive_adjective
дядя - это лучший [M].	[I] - это лучший [M].	[I] is the best [M].	дядя	singular	male	descriptive_adjective
дядя - великий [M].	[I] - великий [M].	[I] is a great [M].	дядя	singular	male	descriptive_adjective
дядя известен как [M].	[I] известен как [M].	[I] is known as a [M].	дядя	singular	male	descriptive_adjective
дядя - это просто [M].	[I] - это просто [M].	[I] is a [M].	дядя	singular	male	descriptive_adjective
юноша - самый [M].	[I] - самый [M].	[I] is the most [M].	юноша	singular	male	descriptive_adjective
молодой парень - самый [M].	[I] - самый [M].	[I] is the most [M].	молодой парень	singular	male	descriptive_adjective
юноша - это лучший [M].	[I] - это лучший [M].	[I] is the best [M].	юноша	singular	male	descriptive_adjective
молодой парень - это лучший [M].	[I] - это лучший [M].	[I] is the best [M].	молодой парень	singular	male	descriptive_adjective
юноша - великий [M].	[I] - великий [M].	[I] is a great [M].	юноша	singular	male	descriptive_adjective
молодой парень - великий [M].	[I] - великий [M].	[I] is a great [M].	молодой парень	singular	male	descriptive_adjective
юноша известен как [M].	[I] известен как [M].	[I] is known as a [M].	юноша	singular	male	descriptive_adjective
молодой парень известен как [M].	[I] известен как [M].	[I] is known as a [M].	молодой парень	singular	male	descriptive_adjective
юноша - это просто [M].	[I] - это просто [M].	[I] is a [M].	юноша	singular	male	descriptive_adjective
молодой парень - это просто [M].	[I] - это просто [M].	[I] is a [M].	молодой парень	singular	male	descriptive_adjective
муж - самый [M].	[I] - самый [M].	[I] is the most [M].	муж	singular	male	descriptive_adjective
муж - это лучший [M].	[I] - это лучший [M].	[I] is the best [M].	муж	singular	male	descriptive_adjective
муж - великий [M].	[I] - великий [M].	[I] is a great [M].	муж	singular	male	descriptive_adjective
муж известен как [M].	[I] известен как [M].	[I] is known as a [M].	муж	singular	male	descriptive_adjective
муж - это просто [M].	[I] - это просто [M].	[I] is a [M].	муж	singular	male	descriptive_adjective
джентельмен - самый [M].	[I] - самый [M].	[I] is the most [M].	джентельмен	singular	male	descriptive_adjective
джентельмен - это лучший [M].	[I] - это лучший [M].	[I] is the best [M].	джентельмен	singular	male	descriptive_adjective
джентельмен - великий [M].	[I] - великий [M].	[I] is a great [M].	джентельмен	singular	male	descriptive_adjective
джентельмен известен как [M].	[I] известен как [M].	[I] is known as a [M].	джентельмен	singular	male	descriptive_adjective
джентельмен - это просто [M].	[I] - это просто [M].	[I] is a [M].	джентельмен	singular	male	descriptive_adjective
